County ID,MYS,Median Household Income,County,Crude Rate,Education Bin,Income Bin,Mortality Bin
1001,14.293999999999999,53748.0,"Autauga County, AL",130.0,7.0,8.0,6.0
1003,14.796,50976.0,"Baldwin County, AL",113.0,9.0,8.0,5.0
1005,13.027999999999999,32111.0,"Barbour County, AL",165.1,2.0,1.0,8.0
1007,13.111999999999998,40113.0,"Bibb County, AL",195.8,2.0,3.0,9.0
1009,13.328,46377.0,"Blount County, AL",130.7,3.0,6.0,7.0
1011,12.6,28180.0,"Bullock County, AL",155.3,1.0,1.0,8.0
1013,13.412,32687.0,"Butler County, AL",265.2,3.0,1.0,10.0
1015,13.726,40420.0,"Calhoun County, AL",221.3,5.0,4.0,10.0
1017,13.174,35082.0,"Chambers County, AL",187.5,2.0,2.0,9.0
1019,13.386,38792.0,"Cherokee County, AL",197.6,3.0,3.0,10.0
1021,13.286,41875.0,"Chilton County, AL",174.8,3.0,4.0,9.0
1023,13.13,33960.0,"Choctaw County, AL",249.5,2.0,1.0,10.0
1025,13.064,35439.0,"Clarke County, AL",186.5,2.0,2.0,9.0
1027,12.972000000000001,36257.0,"Clay County, AL",205.8,1.0,2.0,10.0
1029,12.898,40936.0,"Cleburne County, AL",215.2,1.0,4.0,10.0
1031,14.24,46544.0,"Coffee County, AL",124.8,7.0,6.0,6.0
1033,13.75,42121.0,"Colbert County, AL",205.3,5.0,4.0,10.0
1035,12.788000000000002,28629.0,"Conecuh County, AL",250.7,1.0,1.0,10.0
1037,12.783999999999999,35067.0,"Coosa County, AL",154.1,1.0,2.0,8.0
1039,13.442,35344.0,"Covington County, AL",199.5,3.0,2.0,10.0
1041,13.224,35266.0,"Crenshaw County, AL",146.3,2.0,2.0,7.0
1043,13.486,39767.0,"Cullman County, AL",158.0,4.0,3.0,8.0
1045,13.75,41937.0,"Dale County, AL",167.0,5.0,4.0,9.0
1047,13.272,28339.0,"Dallas County, AL",258.3,3.0,1.0,10.0
1049,12.915999999999999,37006.0,"DeKalb County, AL",150.9,1.0,2.0,8.0
1051,14.082,53275.0,"Elmore County, AL",137.6,7.0,8.0,7.0
1053,13.033999999999999,35211.0,"Escambia County, AL",170.3,2.0,2.0,9.0
1055,13.626,39469.0,"Etowah County, AL",214.3,4.0,3.0,10.0
1057,13.22,36507.0,"Fayette County, AL",205.0,2.0,2.0,10.0
1059,13.038000000000002,35194.0,"Franklin County, AL",187.9,2.0,2.0,9.0
1061,13.104000000000001,35283.0,"Geneva County, AL",165.2,2.0,2.0,8.0
1063,12.87,25783.0,"Greene County, AL",302.7,1.0,1.0,10.0
1065,13.24,33758.0,"Hale County, AL",252.7,2.0,1.0,10.0
1067,13.458,40511.0,"Henry County, AL",151.2,4.0,4.0,8.0
1069,14.014000000000001,41369.0,"Houston County, AL",142.8,6.0,4.0,7.0
1071,13.114,39071.0,"Jackson County, AL",204.1,2.0,3.0,10.0
1073,14.914000000000001,46473.0,"Jefferson County, AL",138.6,9.0,6.0,7.0
1075,13.187999999999999,35969.0,"Lamar County, AL",243.4,2.0,2.0,10.0
1077,14.006000000000002,42716.0,"Lauderdale County, AL",163.7,6.0,5.0,8.0
1079,12.934,41138.0,"Lawrence County, AL",208.7,1.0,4.0,10.0
1081,15.122,44655.0,"Lee County, AL",91.9,9.0,5.0,3.0
1083,14.085999999999999,51636.0,"Limestone County, AL",157.0,7.0,8.0,8.0
1085,12.99,30416.0,"Lowndes County, AL",237.0,1.0,1.0,10.0
1087,13.782,29132.0,"Macon County, AL",283.5,5.0,1.0,10.0
1089,15.655999999999999,58895.0,"Madison County, AL",130.8,10.0,9.0,7.0
1091,13.426000000000002,33759.0,"Marengo County, AL",262.3,3.0,1.0,10.0
1093,13.26,35094.0,"Marion County, AL",257.3,3.0,2.0,10.0
1095,13.502,38922.0,"Marshall County, AL",198.9,4.0,3.0,10.0
1097,14.13,42506.0,"Mobile County, AL",157.1,7.0,4.0,8.0
1099,13.136000000000001,35090.0,"Monroe County, AL",206.9,2.0,2.0,10.0
1101,14.815999999999999,43255.0,"Montgomery County, AL",145.3,9.0,5.0,7.0
1103,13.982000000000001,45601.0,"Morgan County, AL",166.3,6.0,6.0,8.0
1105,13.136,25904.0,"Perry County, AL",279.9,2.0,1.0,10.0
1107,13.112,32962.0,"Pickens County, AL",232.2,2.0,1.0,10.0
1109,13.986,33963.0,"Pike County, AL",162.8,6.0,1.0,8.0
1111,13.288,36940.0,"Randolph County, AL",263.6,3.0,2.0,10.0
1113,13.7,36080.0,"Russell County, AL",133.1,5.0,2.0,7.0
1115,13.584000000000001,53082.0,"St. Clair County, AL",153.7,4.0,8.0,8.0
1117,15.714,70097.0,"Shelby County, AL",77.1,10.0,10.0,2.0
1119,13.454,25344.0,"Sumter County, AL",202.4,4.0,1.0,10.0
1121,13.264000000000001,38351.0,"Talladega County, AL",201.3,3.0,3.0,10.0
1123,13.515999999999998,38042.0,"Tallapoosa County, AL",178.3,4.0,3.0,9.0
1125,14.682,45939.0,"Tuscaloosa County, AL",138.0,9.0,6.0,7.0
1127,13.027999999999999,37571.0,"Walker County, AL",293.7,2.0,3.0,10.0
1129,12.847999999999999,40368.0,"Washington County, AL",189.4,1.0,4.0,9.0
1131,12.962,23315.0,"Wilcox County, AL",448.2,1.0,1.0,10.0
1133,13.14,35382.0,"Winston County, AL",174.2,2.0,2.0,9.0
2020,15.31,76881.0,"Anchorage Borough, AK",81.5,10.0,10.0,3.0
2050,13.012,44378.0,"Bethel Census Area, AK",99.3,1.0,5.0,4.0
2090,15.335999999999999,68658.0,"Fairbanks North Star Borough, AK",76.3,10.0,10.0,2.0
2110,15.764000000000001,81269.0,"Juneau Borough, AK",77.4,10.0,10.0,2.0
2122,14.5,63024.0,"Kenai Peninsula Borough, AK",98.0,8.0,10.0,4.0
2130,14.474,62826.0,"Ketchikan Gateway Borough, AK",117.1,8.0,10.0,6.0
2150,14.575999999999999,67290.0,"Kodiak Island Borough, AK",60.1,8.0,10.0,1.0
2170,14.296,72571.0,"Matanuska-Susitna Borough, AK",77.4,7.0,10.0,2.0
2180,13.368,49916.0,"Nome Census Area, AK",116.4,3.0,7.0,6.0
2185,13.617999999999997,72965.0,"North Slope Borough, AK",95.7,4.0,10.0,4.0
2240,14.111999999999998,58127.0,"Southeast Fairbanks Census Area, AK",117.1,7.0,9.0,6.0
2290,13.255999999999998,36296.0,"Yukon-Koyukuk Census Area, AK",214.7,3.0,2.0,10.0
4001,13.138000000000002,32123.0,"Apache County, AZ",73.7,2.0,1.0,2.0
4003,14.392000000000001,44388.0,"Cochise County, AZ",109.8,8.0,5.0,5.0
4005,15.176000000000002,49698.0,"Coconino County, AZ",69.9,10.0,7.0,2.0
4007,13.86,39581.0,"Gila County, AZ",168.8,6.0,3.0,9.0
4009,13.556,44301.0,"Graham County, AZ",74.5,4.0,5.0,2.0
4011,13.511999999999999,57473.0,"Greenlee County, AZ",88.9,4.0,9.0,3.0
