Notes,State,State Code,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Alabama,1,"Autauga County, AL",1001,2718,717109,379,435.6
,Alabama,1,"Baldwin County, AL",1003,10509,2513627,418.1,355.5
,Alabama,1,"Barbour County, AL",1005,1987,405718,489.7,460.2
,Alabama,1,"Bibb County, AL",1007,1461,321346,454.7,470
,Alabama,1,"Blount County, AL",1009,3348,794725,421.3,402.7
,Alabama,1,"Bullock County, AL",1011,851,159949,532,476.3
,Alabama,1,"Butler County, AL",1013,2037,298042,683.5,514.6
,Alabama,1,"Calhoun County, AL",1015,8896,1682143,528.8,499.7
,Alabama,1,"Chambers County, AL",1017,3054,508605,600.5,473.8
,Alabama,1,"Cherokee County, AL",1019,1765,375344,470.2,399.3
,Alabama,1,"Chilton County, AL",1021,2924,604244,483.9,473.5
,Alabama,1,"Choctaw County, AL",1023,1278,209413,610.3,483.8
,Alabama,1,"Clarke County, AL",1025,1858,374901,495.6,423.1
,Alabama,1,"Clay County, AL",1027,1320,204535,645.4,499.6
,Alabama,1,"Cleburne County, AL",1029,1083,212234,510.3,454
,Alabama,1,"Coffee County, AL",1031,3109,688142,451.8,412.1
,Alabama,1,"Colbert County, AL",1033,4332,799703,541.7,443.4
,Alabama,1,"Conecuh County, AL",1035,1184,193386,612.2,483.6
,Alabama,1,"Coosa County, AL",1037,834,169447,492.2,430.8
,Alabama,1,"Covington County, AL",1039,3321,549441,604.4,443.5
,Alabama,1,"Crenshaw County, AL",1041,1128,200125,563.6,437.6
,Alabama,1,"Cullman County, AL",1043,6092,1155621,527.2,472.8
,Alabama,1,"Dale County, AL",1045,2891,704812,410.2,412.3
,Alabama,1,"Dallas County, AL",1047,3745,615434,608.5,552
,Alabama,1,"DeKalb County, AL",1049,4997,976982,511.5,485.7
,Alabama,1,"Elmore County, AL",1051,3990,1086087,367.4,406.9
,Alabama,1,"Escambia County, AL",1053,2716,552318,491.7,452.3
,Alabama,1,"Etowah County, AL",1055,8765,1512602,579.5,495.3
,Alabama,1,"Fayette County, AL",1057,1459,257919,565.7,445.3
,Alabama,1,"Franklin County, AL",1059,2624,449620,583.6,527.2
,Alabama,1,"Geneva County, AL",1061,2138,385344,554.8,440.2
,Alabama,1,"Greene County, AL",1063,875,131857,663.6,526.9
,Alabama,1,"Hale County, AL",1065,1309,230288,568.4,492.5
,Alabama,1,"Henry County, AL",1067,1439,248361,579.4,442.4
,Alabama,1,"Houston County, AL",1069,6260,1391774,449.8,412.3
,Alabama,1,"Jackson County, AL",1071,4138,779949,530.5,480.8
,Alabama,1,"Jefferson County, AL",1073,40957,9510171,430.7,397.2
,Alabama,1,"Lamar County, AL",1075,1289,217703,592.1,462.8
,Alabama,1,"Lauderdale County, AL",1077,5692,1342213,424.1,355.9
