County Code,State,County,Population,Deaths,Crude Rate,Median Household Income ($),% <High School,% High School,% Associate,% >Bachelor,MYS
1001,AL,Autauga County,144568.0,188.0,130,53748,12.4,34.3,28.7,24.6,14.293999999999999
1003,AL,Baldwin County,514161.0,581.0,113,50976,10.0,28.7,31.8,29.5,14.796
1005,AL,Barbour County,71488.0,118.0,165.1,32111,26.2,34.9,26.0,12.9,13.027999999999999
1007,AL,Bibb County,62810.0,123.0,195.8,40113,19.3,41.8,26.9,12.0,13.111999999999998
1009,AL,Blount County,148438.0,194.0,130.7,46377,20.0,32.9,34.0,13.1,13.328
1011,AL,Bullock County,28974.0,45.0,155.3,28180,33.4,34.1,22.2,10.3,12.6
1013,AL,Butler County,50897.0,135.0,265.2,32687,18.9,39.9,25.1,16.1,13.412
1015,AL,Calhoun County,301458.0,667.0,221.3,40420,17.7,32.1,32.6,17.7,13.726
1017,AL,Chambers County,88018.0,165.0,187.5,35082,19.7,39.4,28.4,12.5,13.174
1019,AL,Cherokee County,66787.0,132.0,197.6,38792,18.7,36.0,31.4,14.0,13.386
1021,AL,Chilton County,114392.0,200.0,174.8,41875,19.9,41.3,24.0,14.9,13.286
1023,AL,Choctaw County,33661.0,84.0,249.5,33960,21.1,37.3,29.6,12.0,13.13
1025,AL,Clarke County,62742.0,117.0,186.5,35439,19.0,45.1,23.8,12.1,13.064
1027,AL,Clay County,34499.0,71.0,205.8,36257,25.4,34.6,29.0,11.1,12.972000000000001
1029,AL,Cleburne County,38107.0,82.0,215.2,40936,25.8,38.0,24.7,11.5,12.898
1031,AL,Coffee County,133034.0,166.0,124.8,46544,14.9,29.3,32.1,23.7,14.24
1033,AL,Colbert County,140784.0,289.0,205.3,42121,16.6,34.8,30.1,18.5,13.75
1035,AL,Conecuh County,31515.0,79.0,250.7,28629,20.6,46.2,24.6,8.7,12.788000000000002
1037,AL,Coosa County,29851.0,46.0,154.1,35067,27.1,36.3,26.7,9.9,12.783999999999999
1039,AL,Covington County,95215.0,190.0,199.5,35344,19.1,34.4,31.6,14.9,13.442
1041,AL,Crenshaw County,35548.0,52.0,146.3,35266,21.7,38.5,25.1,14.6,13.224
1043,AL,Cullman County,210148.0,332.0,158,39767,17.8,35.1,32.1,15.0,13.486
1045,AL,Dale County,129329.0,216.0,167,41937,14.2,33.1,36.7,16.1,13.75
1047,AL,Dallas County,102988.0,266.0,258.3,28339,21.0,36.5,28.8,13.8,13.272
1049,AL,DeKalb County,181628.0,274.0,150.9,37006,27.4,34.3,27.0,11.4,12.915999999999999
1051,AL,Elmore County,218040.0,300.0,137.6,53275,13.2,35.4,29.1,22.2,14.082
